TOOLTIP_DOWNLOAD_LATEST_LAUNCHER_RELEASE,Download latest launcher release,Télécharger la dernière version du launcher
TOOLTIP_MANAGE_TAGS,Manage tags,Gérer les étiquettes
TOOLTIP_DELETE_TAG,Delete tag,Supprimer l'étiquette
TOOLTIP_CREATE_TAG,Create new tag,Créer une nouvelle étiquette
TOOLTIP_EDIT_TAG_NAME,Edit tag name,Editer le nom de l'étiquette


# Popups,,
POPUP_TITLE_DELETE_PROJECT,Delete project,Supprimer le projet
POPUP_TITLE_MANAGE_TAGS,Manage tags,Gérer les étiquettes 

# Notifications & Errors,,
TOAST_NO_NEW_RELEASES,No new releases available,Aucune nouvelle version disponible
TOAST_NEW_BUILD_RELEASES,New build release(s) available!,Nouvelles version(s) de build disponibles !
TOAST_NEW_LAUNCHER_RELEASES,New launcher release available!,Nouvelles version du launcher disponibles !
TOAST_NO_NEW_LAUNCHER_RELEASES,No new launcher releases available,Aucune nouvelles versions du launcher sont disponibles
TOAST_CREATED_NEW_PROJECT,Created {project_name} !,Projet {project_name} créé !
TOAST_DELETED_PROJECT,Deleted {project_name},Projet {project_name} supprimé
TOAST_DELETE_PROJECT_ERROR,Error while deleting project {project_name}: {error},Une erreur est survenue en tentant de supprimer {project_name}: {error}
TOAST_DOWNLOADING_BUILD,Downloading {build_name}..,Téléchargement de {build_name}..
TOAST_SUCCESS_DOWNLOADED_BUILD,Downloaded {build_name} successfully !,Téléchargé {build_name} avec succès !
TOAST_SUCCESS_UNINSTALLED_BUILD,Uninstalled {build_name} successfully !,Désinstallé {build_name} avec succès !
ERROR_API_RATE_LIMIT_EXCEEDED,"API rate limit exceeded, please retry later. (within one hour or more)","Limite de débit API dépassée, veuillez réessayer plus tard. (dans un délai d'une heure ou plus)"
ERROR_NOT_CONNECTED_TO_INTERNET,"You are not connected to the internet, please check your connection and try again.","Vous n'êtes pas connecté à Internet, veuillez vérifier votre connexion et réessayer."
ERROR_DOWNLOAD_FAILED,Download failed (error: {error}),Échec du téléchargement (erreur: {error})
ERROR_REQUEST_FAILED,Request failed  (error: {error}),Échec de la requête (erreur: {error})
ERROR_NO_DIRECTORY_FOUND,No directory found at {dir_path}.,Aucun répertoire trouvé dans {dir_path}.
ERROR_DIR_ACCESS,Directory access error (error: {error}),Erreur d'accès au répertoire (erreur: {error})
ERROR_INVALID_PROJECT_NAME,Invalid project name,Nom de projet invalide
ERROR_INVALID_BUILD_SELECTED,Invalid selected build,Build sélectionnée invalide
ERROR_DIRECTORY_NOT_EMPTY,This directory has files and/or directories already inside.,Ce répertoire contient déjà des fichiers et/ou des répertoires.
WARNING_ALREADY_DOWNLOADING_BUILD,"Already downloading an build, please retry later.","Vous téléchargez déjà une build, veuillez réessayer plus tard."
WARNING_ALREADY_DOWNLOADED_BUILD,Already downloaded {build_name}.,{build_name} est déjà téléchargé(e).
WARNING_PROJECT_RUN_WITHOUT_SELECTED_BUILD,Cannot run project without a selected build,Impossible d'exécuter le projet sans build sélectionnée

# Other,,
NEW_TAG_NAME,New Tag,Nouvelle étiquette
TAGS_MANAGER_WINDOW_INFO,Click tags to move them; use the + button to create new ones.,Cliquez sur les étiquettes pour les déplacer; utilisez le bouton + pour en créer de nouvelles.

